City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Sisimiut,GL,2021-04-13 17:59:42,66.9395,-53.6735,31.75,98,100,4.85
119,Severo-Kurilsk,RU,2021-04-13 17:59:43,50.6789,156.125,37.18,90,100,13.38
120,Axim,GH,2021-04-13 17:59:43,4.8699,-2.2405,82.99,77,69,10.83
121,Port-Gentil,GA,2021-04-13 17:59:43,-0.7193,8.7815,82.4,83,20,4.61
122,Vila Franca Do Campo,PT,2021-04-13 17:59:44,37.7167,-25.4333,62.6,88,75,20.71
123,Torbay,CA,2021-04-13 17:59:44,47.6666,-52.7314,41.0,87,90,29.93
124,Maracaibo,VE,2021-04-13 17:56:17,10.6317,-71.6406,93.13,51,76,3.62
125,North Bend,US,2021-04-13 17:59:45,43.4065,-124.2243,59.0,35,1,16.11
126,Neokhorion,GR,2021-04-13 17:59:45,41.1833,23.25,53.01,63,83,1.99
127,Soe,ID,2021-04-13 17:59:46,-9.8607,124.284,63.16,91,17,3.98
128,Payson,US,2021-04-13 17:59:46,40.0444,-111.7321,55.0,25,75,19.57
129,Flin Flon,CA,2021-04-13 17:59:46,54.7682,-101.865,28.4,46,40,11.5
130,Half Moon Bay,US,2021-04-13 17:59:47,37.4636,-122.4286,60.01,82,75,12.66
131,Nantucket,US,2021-04-13 17:59:47,41.2835,-70.0995,48.2,76,90,27.63
132,Bantry,IE,2021-04-13 17:59:48,51.6833,-9.45,57.2,44,0,10.36
133,Kaitangata,NZ,2021-04-13 17:59:48,-46.2817,169.8464,57.0,89,85,7.0
134,Moose Factory,CA,2021-04-13 17:59:49,51.2585,-80.6094,53.6,66,1,11.5
135,Kitgum,UG,2021-04-13 17:59:49,3.2783,32.8867,66.6,95,100,3.91
136,Cabo San Lucas,MX,2021-04-13 17:59:49,22.8909,-109.9124,80.6,50,1,3.44
137,Quatre Cocos,MU,2021-04-13 17:59:50,-20.2078,57.7625,78.8,83,75,6.91
138,Kutum,SD,2021-04-13 17:59:50,14.2,24.6667,74.59,6,28,11.52
139,Viedma,AR,2021-04-13 17:59:51,-40.8135,-62.9967,87.71,17,1,11.68
140,Hambantota,LK,2021-04-13 17:59:51,6.1241,81.1185,80.67,76,75,1.72
141,Warrnambool,AU,2021-04-13 17:59:52,-38.3833,142.4833,55.99,91,88,5.01
142,Pingliang,CN,2021-04-13 17:59:52,35.5392,106.6861,42.49,79,97,3.49
143,Iqaluit,CA,2021-04-13 17:59:52,63.7506,-68.5145,21.2,73,90,21.85
144,Chara,RU,2021-04-13 17:59:53,56.9064,118.2631,4.42,74,76,1.05
145,Haimen,CN,2021-04-13 17:59:53,23.1935,116.6142,69.8,83,90,13.42
146,Itarema,BR,2021-04-13 17:59:54,-2.9248,-39.9167,81.43,75,54,12.73
147,Provideniya,RU,2021-04-13 17:59:54,64.3833,-173.3,17.56,92,100,14.12
148,Tahta,EG,2021-04-13 17:59:55,26.7693,31.5021,73.4,18,0,9.22
149,Coquimbo,CL,2021-04-13 17:59:55,-29.9533,-71.3436,59.0,82,75,10.36
150,Winslow,US,2021-04-13 17:59:56,35.0242,-110.6974,73.0,14,1,17.27
151,Turukhansk,RU,2021-04-13 17:59:56,65.8167,87.9833,25.38,94,100,17.05
152,Meulaboh,ID,2021-04-13 17:59:56,4.1363,96.1285,76.8,86,100,2.73
153,Imbituba,BR,2021-04-13 17:55:26,-28.24,-48.6703,78.8,50,40,12.66
154,Salalah,OM,2021-04-13 17:59:57,17.0151,54.0924,82.4,69,0,5.75
155,Tuatapere,NZ,2021-04-13 17:59:57,-46.1333,167.6833,51.01,96,87,5.01
156,Tokur,RU,2021-04-13 17:59:58,53.1333,132.9,7.52,91,100,4.32
157,Kipini,KE,2021-04-13 17:59:58,-2.5257,40.5262,82.4,78,20,9.22
158,Vao,NC,2021-04-13 17:59:59,-22.6667,167.4833,75.52,86,94,21.25
159,Namibe,AO,2021-04-13 17:59:59,-15.1961,12.1522,82.06,65,30,9.1
160,Fort Nelson,CA,2021-04-13 17:59:59,58.8053,-122.7002,41.0,45,75,1.12
161,Carnarvon,AU,2021-04-13 18:00:00,-24.8667,113.6333,71.02,44,1,25.21
162,Coihaique,CL,2021-04-13 18:00:00,-45.5752,-72.0662,60.8,72,75,9.22
163,Arraial Do Cabo,BR,2021-04-13 18:00:01,-22.9661,-42.0278,80.6,61,40,16.11
164,Nagato,JP,2021-04-13 18:00:01,34.3833,131.2,57.2,67,40,18.41
165,Xudat,AZ,2021-04-13 18:00:02,41.631,48.681,52.84,61,8,3.69
166,Aklavik,CA,2021-04-13 18:00:02,68.2191,-135.0107,19.4,68,1,3.33
167,Sumbe,AO,2021-04-13 18:00:03,-11.2061,13.8437,81.27,83,99,2.39
168,Shimoda,JP,2021-04-13 18:00:03,34.6667,138.95,59.0,100,75,2.3
169,Skeldon,GY,2021-04-13 18:00:04,5.8833,-57.1333,83.79,75,89,7.72
170,Shibetsu,JP,2021-04-13 18:00:05,43.659,145.132,46.83,95,100,19.26
171,Sao Filipe,CV,2021-04-13 18:00:06,14.8961,-24.4956,78.26,60,30,10.33
172,Lompoc,US,2021-04-13 18:00:08,34.6391,-120.4579,51.8,76,50,10.76
173,Bengkulu,ID,2021-04-13 18:00:08,-3.8004,102.2655,76.91,89,100,3.74
174,Upington,ZA,2021-04-13 18:00:09,-28.4478,21.2561,84.2,24,20,5.75
175,Smithers,CA,2021-04-13 18:00:10,54.7804,-127.1743,37.4,52,75,4.61
176,Westport,US,2021-04-13 18:00:10,41.1415,-73.3579,61.0,44,90,3.44
177,Nizwa,OM,2021-04-13 18:00:11,22.9333,57.5333,84.07,19,45,5.5
178,Penarroya-Pueblonuevo,ES,2021-04-13 18:00:11,38.3,-5.2667,75.2,38,0,5.75
179,Port Hardy,CA,2021-04-13 18:00:12,50.6996,-127.4199,44.6,75,40,3.44
180,Nanchang,CN,2021-04-13 18:00:12,28.6833,115.8833,61.65,96,99,7.11
181,Teguldet,RU,2021-04-13 18:00:13,57.3064,88.1667,31.28,91,87,8.28
182,Tateyama,JP,2021-04-13 18:00:13,34.9833,139.8667,63.0,94,100,3.0
183,Hay River,CA,2021-04-13 17:56:07,60.8156,-115.7999,39.2,45,100,11.5
184,Anadyr,RU,2021-04-13 18:00:14,64.75,177.4833,8.6,85,40,13.42
185,Shahapur,IN,2021-04-13 18:00:14,19.45,73.3333,84.2,84,40,4.61
186,Saldanha,ZA,2021-04-13 18:00:14,-33.0117,17.9442,71.6,49,85,9.22
187,Ordynskoye,RU,2021-04-13 18:00:15,54.3656,81.8994,33.35,94,100,8.97
188,Beringovskiy,RU,2021-04-13 18:00:15,63.05,179.3167,7.2,92,99,12.08
189,Port Keats,AU,2021-04-13 18:00:16,-14.25,129.55,76.71,65,56,3.0
190,Makokou,GA,2021-04-13 18:00:16,0.5738,12.8642,72.45,95,96,1.63
191,Batsfjord,NO,2021-04-13 18:00:16,70.6345,29.7185,28.4,68,0,8.05
192,Nchelenge,ZM,2021-04-13 17:57:07,-9.3451,28.734,70.32,83,62,8.1
193,Juneau,US,2021-04-13 18:00:17,58.3019,-134.4197,37.4,87,90,18.41
194,Kangaatsiaq,GL,2021-04-13 18:00:17,68.3065,-53.4641,29.41,86,100,10.51
195,Moron,AR,2021-04-13 18:00:18,-34.6534,-58.6198,77.0,50,0,4.61
196,Esperance,AU,2021-04-13 18:00:18,-33.8667,121.9,53.6,94,90,6.91
197,Laela,TZ,2021-04-13 18:00:19,-8.5667,32.05,61.03,96,100,4.63
198,Saint George,US,2021-04-13 17:56:52,37.1041,-113.5841,71.01,14,1,4.61
199,Bathsheba,BB,2021-04-13 18:00:19,13.2167,-59.5167,84.2,65,75,13.8
200,Huarmey,PE,2021-04-13 18:00:20,-10.0681,-78.1522,72.05,77,96,9.06
201,Klaksvik,FO,2021-04-13 18:00:20,62.2266,-6.589,42.8,100,20,2.3
202,Singarayakonda,IN,2021-04-13 18:00:21,15.25,80.0333,82.26,79,65,6.71
203,Acapulco,MX,2021-04-13 17:59:33,16.8634,-99.8901,84.2,70,1,6.91
204,Airai,TL,2021-04-13 18:00:21,-8.9266,125.4092,57.72,80,29,1.83
205,Bemidji,US,2021-04-13 17:59:07,47.4736,-94.8803,34.0,86,90,11.5
206,Luba,GQ,2021-04-13 18:00:22,3.4568,8.5547,84.2,79,75,4.61
207,Khatanga,RU,2021-04-13 18:00:22,71.9667,102.5,21.67,94,99,13.4
208,Kousseri,CM,2021-04-13 18:00:23,12.0769,15.0306,100.4,7,14,6.91
209,Dakar,SN,2021-04-13 18:00:23,14.6937,-17.4441,77.0,61,0,16.11
210,Copacabana,CO,2021-04-13 18:00:23,6.3463,-75.5089,75.99,49,40,6.91
211,Naples,IT,2021-04-13 18:00:22,40.8333,14.25,55.4,67,40,11.5
212,Cape Town,ZA,2021-04-13 17:56:30,-33.9258,18.4232,66.0,88,0,9.22
213,Kamenka,RU,2021-04-13 18:00:24,51.3223,42.7678,57.0,42,9,10.04
214,Miass,RU,2021-04-13 18:00:25,55.045,60.1083,45.14,90,3,4.21
215,Hokitika,NZ,2021-04-13 17:59:23,-42.7167,170.9667,52.61,83,96,4.34
216,Bhatkal,IN,2021-04-13 17:58:05,13.9667,74.5667,82.65,82,95,4.32
217,Saga,JP,2021-04-13 18:00:26,33.2493,130.2988,53.01,56,86,1.99
218,Qasigiannguit,GL,2021-04-13 18:00:26,68.8193,-51.1922,30.2,86,75,10.36
219,Chuy,UY,2021-04-13 18:00:26,-33.6971,-53.4616,71.1,56,0,2.8
220,Rafaela,AR,2021-04-13 18:00:15,-31.2503,-61.4867,75.99,38,0,1.99
221,Sabang,ID,2021-04-13 18:00:27,5.8933,95.3214,82.81,72,95,16.37
222,Tiksi,RU,2021-04-13 18:00:27,71.6872,128.8694,13.26,74,42,13.47
223,Birjand,IR,2021-04-13 18:00:28,32.8663,59.2211,66.2,30,75,6.91
224,Chanika,TZ,2021-04-13 18:00:28,-5.4167,38.0167,67.96,97,100,5.23
225,Kahului,US,2021-04-13 18:00:17,20.8947,-156.47,66.0,94,40,5.75
226,Monteria,CO,2021-04-13 17:55:58,8.748,-75.8814,90.16,58,100,5.37
227,Binga,ZW,2021-04-13 18:00:29,-17.6203,27.3414,72.39,55,0,2.06
228,Mweka,CD,2021-04-13 18:00:29,-4.85,21.5667,69.89,87,83,1.57
229,Kalemie,CD,2021-04-13 18:00:30,-5.9475,29.1947,72.82,80,89,3.13
230,Ornskoldsvik,SE,2021-04-13 18:00:30,63.2909,18.7153,33.8,100,75,6.91
231,Bambous Virieux,MU,2021-04-13 18:00:31,-20.3428,57.7575,78.8,83,75,6.91
